SecurityID,Date,CurrencyCode,Valuation,Vendor,Source
AU000000RSG6,31/12/2020,USD,10.4671,IDC,IDC
DE0005677108,31/12/2020,USD,12.9992,IDC,IDC
DE0005865505,31/12/2020,USD,13.0877,IDC,IDC
DE0006569403,31/12/2020,USD,15.4098,IDC,IDC
DE0007847303,31/12/2020,USD,16.2567,IDC,IDC
DK0010244508,31/12/2020,USD,17.3634,IDC,IDC
FR0000035818,31/12/2020,USD,18.3203,IDC,IDC
IT0000072618,31/12/2020,USD,26.9365,IDC,IDC
JP3170800001,31/12/2020,USD,20.9345,IDC,IDC
JP3375800004,31/12/2020,USD,20.7608,IDC,IDC
SE0000148884,31/12/2020,USD,26.2418,IDC,IDC
US00770F1049,31/12/2020,USD,26.4187,IDC,IDC
US2044096012,31/12/2020,USD,27.7275,IDC,IDC
US6752321025,31/12/2020,USD,35.8268,IDC,IDC
US7751331015,31/12/2020,USD,45.1007,IDC,IDC
US9842451000,31/12/2020,USD,48.3957,IDC,IDC
XS1215181980,31/12/2020,USD,50.5588,IDC,IDC
US337738AP30,31/12/2020,USD,66.4094,IDC,IDC
US001055AP78,31/12/2020,USD,66.2365,IDC,IDC
US90351DAF42,31/12/2020,USD,69.8987,IDC,IDC
DE000A169G15,31/12/2020,USD,74.5315,IDC,IDC
XS1346695437,31/12/2020,USD,85.2661,IDC,IDC
US91282CBG50,31/12/2020,USD,87.8094,IDC,IDC
