SecurityID,Date,CurrencyCode,Valuation,Vendor,Source
AU000000RSG6,31/12/2020,USD,11.9147,MARKIT,MARKIT
DE0005677108,31/12/2020,USD,13.2445,MARKIT,MARKIT
DE0005865505,31/12/2020,USD,12.8179,MARKIT,MARKIT
DE0006569403,31/12/2020,USD,14.7808,MARKIT,MARKIT
DE0007847303,31/12/2020,USD,14.9562,MARKIT,MARKIT
DK0010244508,31/12/2020,USD,16.6952,MARKIT,MARKIT
FR0000035818,31/12/2020,USD,19.5151,MARKIT,MARKIT
IT0000072618,31/12/2020,USD,25.9295,MARKIT,MARKIT
JP3170800001,31/12/2020,USD,22.2707,MARKIT,MARKIT
JP3375800004,31/12/2020,USD,22.5661,MARKIT,MARKIT
SE0000148884,31/12/2020,USD,26.9988,MARKIT,MARKIT
US00770F1049,31/12/2020,USD,25.1607,MARKIT,MARKIT
US2044096012,31/12/2020,USD,29.4251,MARKIT,MARKIT
US6752321025,31/12/2020,USD,36.1707,MARKIT,MARKIT
US7751331015,31/12/2020,USD,44.2639,MARKIT,MARKIT
US9842451000,31/12/2020,USD,51.3587,MARKIT,MARKIT
XS1215181980,31/12/2020,USD,50.0376,MARKIT,MARKIT
US337738AP30,31/12/2020,USD,59.3853,MARKIT,MARKIT
US001055AP78,31/12/2020,USD,64.2691,MARKIT,MARKIT
US90351DAF42,31/12/2020,USD,69.1854,MARKIT,MARKIT
DE000A169G15,31/12/2020,USD,76.8134,MARKIT,MARKIT
XS1346695437,31/12/2020,USD,79.4712,MARKIT,MARKIT
US91282CBG50,31/12/2020,USD,95.9567,MARKIT,MARKIT
