SecurityID,Date,CurrencyCode,Valuation,Vendor,Source
AU000000RSG6,31/12/2020,USD,12.0261,REUTERS,REUTERS
DE0005677108,31/12/2020,USD,11.5276,REUTERS,REUTERS
DE0005865505,31/12/2020,USD,12.9528,REUTERS,REUTERS
DE0006569403,31/12/2020,USD,15.7243,REUTERS,REUTERS
DE0007847303,31/12/2020,USD,15.2813,REUTERS,REUTERS
DK0010244508,31/12/2020,USD,17.1961,REUTERS,REUTERS
FR0000035818,31/12/2020,USD,20.7099,REUTERS,REUTERS
IT0000072618,31/12/2020,USD,23.6638,REUTERS,REUTERS
JP3170800001,31/12/2020,USD,21.3799,REUTERS,REUTERS
JP3375800004,31/12/2020,USD,22.3404,REUTERS,REUTERS
SE0000148884,31/12/2020,USD,24.7279,REUTERS,REUTERS
US00770F1049,31/12/2020,USD,25.6639,REUTERS,REUTERS
US2044096012,31/12/2020,USD,28.0105,REUTERS,REUTERS
US6752321025,31/12/2020,USD,32.6656,REUTERS,REUTERS
US7751331015,31/12/2020,USD,42.1561,REUTERS,REUTERS
US9842451000,31/12/2020,USD,50.8649,REUTERS,REUTERS
XS1215181980,31/12/2020,USD,48.9952,REUTERS,REUTERS
US337738AP30,31/12/2020,USD,60.0239,REUTERS,REUTERS
US001055AP78,31/12/2020,USD,67.5481,REUTERS,REUTERS
US90351DAF42,31/12/2020,USD,69.8987,REUTERS,REUTERS
DE000A169G15,31/12/2020,USD,69.9683,REUTERS,REUTERS
XS1346695437,31/12/2020,USD,79.4712,REUTERS,REUTERS
US91282CBG50,31/12/2020,USD,97.7672,REUTERS,REUTERS
